Sub,median
1/3,74.71
2/3,81.06
1/3,0.46
2/3,0.54
1/3,65.29
2/3,72.96
1/3,0.43
2/3,0.53
1/3,-0.18
2/3,-0.05
1/3,-0.23
2/3,-0.13
1/3,-0.11
2/3,-0.05
1/3,0.8
2/3,0.81
1/3,0.74
2/3,0.77
1/3,0.82
2/3,0.84
1/3,37.95
2/3,42.25
1/3,30.78
2/3,35.24
1/3,46.51
2/3,51.11
1/3,33.8
2/3,32.32
1/3,18.35
2/3,13.93
1/3,52.83
2/3,48.21
1/3,3.35
2/3,8.01
1/3,0.78
2/3,5.24
1/3,6.51
2/3,11.11
1/3,0.61
2/3,0.67
