Sub,median
mu1,80
mu2,85.77
mu1,0.46
mu2,0.56
mu1,71.16
mu2,75
mu1,0.42
mu2,0.56
mu1,0.5
mu2,0.47
mu1,0.42
mu2,0.39
mu1,0.51
mu2,0.49
mu1,-0.16
mu2,0.01
mu1,-0.19
mu2,0.04
mu1,-0.12
mu2,-0.04
mu1,0.78
mu2,0.7
mu1,0.72
mu2,0.68
mu1,0.85
mu2,0.79
mu1,39.22
mu2,53.79
mu1,34.86
mu2,37.24
mu1,44.12
mu2,60.35
mu1,31.8
mu2,23.19
mu1,14.5
mu2,12.09
mu1,55.04
mu2,38.56
mu1,4.78
mu2,16.01
mu1,4.86
mu2,7.24
mu1,4.12
mu2,20.35
mu1,0.6
mu2,0.69
